job_id,title,description,location,experience,skills
1,Backend Engineer,"We are looking for a Backend Engineer. Experience with modern tooling, monitoring stacks, and scaling patterns will be beneficial. The environment encourages ownership, architectural decision making, and continuous improvement. You will work on distributed systems, improving reliability, performance, and developer velocity. You will collaborate with product, design, infrastructure, and ML teams to deliver scalable solutions. Work includes automation, CI/CD, observability, and cloud-native deployments across environments. Strong fundamentals, hands-on engineering expertise, and passion for solving complex challenges are required. Experience with modern tooling, monitoring stacks, and scaling patterns will be beneficial. You will collaborate with product, design, infrastructure, and ML teams to deliver scalable solutions. Work includes automation, CI/CD, observability, and cloud-native deployments across environments. You will work on distributed systems, improving reliability, performance, and developer velocity. The environment encourages ownership, architectural decision making, and continuous improvement. Strong fundamentals, hands-on engineering expertise, and passion for solving complex challenges are required. You will work on distributed systems, improving reliability, performance, and developer velocity. Experience with modern tooling, monitoring stacks, and scaling patterns will be beneficial. Work includes automation, CI/CD, observability, and cloud-native deployments across environments. The environment encourages ownership, architectural decision making, and continuous improvement. You will collaborate with product, design, infrastructure, and ML teams to deliver scalable solutions. Strong fundamentals, hands-on engineering expertise, and passion for solving complex challenges are required. The environment encourages ownership, architectural decision making, and continuous improvement. You will work on distributed systems, improving reliability, performance, and developer velocity. Experience with modern tooling, monitoring stacks, and scaling patterns will be beneficial. You will collaborate with product, design, infrastructure, and ML teams to deliver scalable solutions. Strong fundamentals, hands-on engineering expertise, and passion for solving complex challenges are required. Work includes automation, CI/CD, observability, and cloud-native deployments across environments.",Remote,8,"Distributed Systems, Kafka, System Design, Caching, Observability, Horizontal Scaling, Kubernetes, Performance Optimization"
2,Python Developer,"We are looking for a Python Developer. Experience with modern tooling, monitoring stacks, and scaling patterns will be beneficial. Strong fundamentals, hands-on engineering expertise, and passion for solving complex challenges are required. You will work on distributed systems, improving reliability, performance, and developer velocity. You will collaborate with product, design, infrastructure, and ML teams to deliver scalable solutions. The environment encourages ownership, architectural decision making, and continuous improvement. Work includes automation, CI/CD, observability, and cloud-native deployments across environments. The environment encourages ownership, architectural decision making, and continuous improvement. Experience with modern tooling, monitoring stacks, and scaling patterns will be beneficial. You will collaborate with product, design, infrastructure, and ML teams to deliver scalable solutions. You will work on distributed systems, improving reliability, performance, and developer velocity. Work includes automation, CI/CD, observability, and cloud-native deployments across environments. Strong fundamentals, hands-on engineering expertise, and passion for solving complex challenges are required. The environment encourages ownership, architectural decision making, and continuous improvement. You will collaborate with product, design, infrastructure, and ML teams to deliver scalable solutions. You will work on distributed systems, improving reliability, performance, and developer velocity. Experience with modern tooling, monitoring stacks, and scaling patterns will be beneficial. Strong fundamentals, hands-on engineering expertise, and passion for solving complex challenges are required. Work includes automation, CI/CD, observability, and cloud-native deployments across environments. Strong fundamentals, hands-on engineering expertise, and passion for solving complex challenges are required. Work includes automation, CI/CD, observability, and cloud-native deployments across environments. Experience with modern tooling, monitoring stacks, and scaling patterns will be beneficial. The environment encourages ownership, architectural decision making, and continuous improvement. You will collaborate with product, design, infrastructure, and ML teams to deliver scalable solutions. You will work on distributed systems, improving reliability, performance, and developer velocity.",Pune,4,"Python, FastAPI, Microservices, Celery, Redis, CI/CD, AWS, Async Programming"
3,Backend Engineer,"We are looking for a Backend Engineer. Experience with modern tooling, monitoring stacks, and scaling patterns will be beneficial. The environment encourages ownership, architectural decision making, and continuous improvement. Work includes automation, CI/CD, observability, and cloud-native deployments across environments. You will work on distributed systems, improving reliability, performance, and developer velocity. Strong fundamentals, hands-on engineering expertise, and passion for solving complex challenges are required. You will collaborate with product, design, infrastructure, and ML teams to deliver scalable solutions. Work includes automation, CI/CD, observability, and cloud-native deployments across environments. Experience with modern tooling, monitoring stacks, and scaling patterns will be beneficial. You will work on distributed systems, improving reliability, performance, and developer velocity. The environment encourages ownership, architectural decision making, and continuous improvement. You will collaborate with product, design, infrastructure, and ML teams to deliver scalable solutions. Strong fundamentals, hands-on engineering expertise, and passion for solving complex challenges are required. Strong fundamentals, hands-on engineering expertise, and passion for solving complex challenges are required. Work includes automation, CI/CD, observability, and cloud-native deployments across environments. You will collaborate with product, design, infrastructure, and ML teams to deliver scalable solutions. You will work on distributed systems, improving reliability, performance, and developer velocity. The environment encourages ownership, architectural decision making, and continuous improvement. Experience with modern tooling, monitoring stacks, and scaling patterns will be beneficial.",Mumbai,2,"Python, Django, Flask, REST APIs, SQL, Git, Docker"
4,Machine Learning Engineer,"We are looking for a Machine Learning Engineer. You will collaborate with product, design, infrastructure, and ML teams to deliver scalable solutions. Strong fundamentals, hands-on engineering expertise, and passion for solving complex challenges are required. The environment encourages ownership, architectural decision making, and continuous improvement. Experience with modern tooling, monitoring stacks, and scaling patterns will be beneficial. Work includes automation, CI/CD, observability, and cloud-native deployments across environments. You will work on distributed systems, improving reliability, performance, and developer velocity. Work includes automation, CI/CD, observability, and cloud-native deployments across environments. You will collaborate with product, design, infrastructure, and ML teams to deliver scalable solutions. Experience with modern tooling, monitoring stacks, and scaling patterns will be beneficial. Strong fundamentals, hands-on engineering expertise, and passion for solving complex challenges are required. You will work on distributed systems, improving reliability, performance, and developer velocity. The environment encourages ownership, architectural decision making, and continuous improvement. The environment encourages ownership, architectural decision making, and continuous improvement. You will collaborate with product, design, infrastructure, and ML teams to deliver scalable solutions. Work includes automation, CI/CD, observability, and cloud-native deployments across environments. Experience with modern tooling, monitoring stacks, and scaling patterns will be beneficial. You will work on distributed systems, improving reliability, performance, and developer velocity. Strong fundamentals, hands-on engineering expertise, and passion for solving complex challenges are required. Work includes automation, CI/CD, observability, and cloud-native deployments across environments. Experience with modern tooling, monitoring stacks, and scaling patterns will be beneficial. You will work on distributed systems, improving reliability, performance, and developer velocity. You will collaborate with product, design, infrastructure, and ML teams to deliver scalable solutions. Strong fundamentals, hands-on engineering expertise, and passion for solving complex challenges are required. The environment encourages ownership, architectural decision making, and continuous improvement.",Chennai,4,"PyTorch, TensorFlow, MLOps, Feature Engineering, Model Deployment, Vector Databases"
5,Cloud Engineer,"We are looking for a Cloud Engineer. You will collaborate with product, design, infrastructure, and ML teams to deliver scalable solutions. You will work on distributed systems, improving reliability, performance, and developer velocity. Work includes automation, CI/CD, observability, and cloud-native deployments across environments. Strong fundamentals, hands-on engineering expertise, and passion for solving complex challenges are required. Experience with modern tooling, monitoring stacks, and scaling patterns will be beneficial. The environment encourages ownership, architectural decision making, and continuous improvement. You will collaborate with product, design, infrastructure, and ML teams to deliver scalable solutions. The environment encourages ownership, architectural decision making, and continuous improvement. You will work on distributed systems, improving reliability, performance, and developer velocity. Work includes automation, CI/CD, observability, and cloud-native deployments across environments. Strong fundamentals, hands-on engineering expertise, and passion for solving complex challenges are required. Experience with modern tooling, monitoring stacks, and scaling patterns will be beneficial.",Bangalore,10,"HPA, Istio, Chaos Engineering, SLOs, Scaling Architecture"
6,Data Scientist,"We are looking for a Data Scientist. Work includes automation, CI/CD, observability, and cloud-native deployments across environments. Experience with modern tooling, monitoring stacks, and scaling patterns will be beneficial. You will collaborate with product, design, infrastructure, and ML teams to deliver scalable solutions. Strong fundamentals, hands-on engineering expertise, and passion for solving complex challenges are required. You will work on distributed systems, improving reliability, performance, and developer velocity. The environment encourages ownership, architectural decision making, and continuous improvement. Experience with modern tooling, monitoring stacks, and scaling patterns will be beneficial. The environment encourages ownership, architectural decision making, and continuous improvement. You will work on distributed systems, improving reliability, performance, and developer velocity. You will collaborate with product, design, infrastructure, and ML teams to deliver scalable solutions. Strong fundamentals, hands-on engineering expertise, and passion for solving complex challenges are required. Work includes automation, CI/CD, observability, and cloud-native deployments across environments.",Gurgaon,2,"Python, EDA, Statistics, Scikit-Learn, Data Visualization"
7,Python Developer,"DeepVista Analytics is hiring a Python Developer. You will collaborate with product, design, infrastructure, and ML teams to deliver scalable solutions. Strong fundamentals, hands-on engineering expertise, and passion for solving complex challenges are required. You will work on distributed systems, improving reliability, performance, and developer velocity. The environment encourages ownership, architectural decision making, and continuous improvement. Work includes automation, CI/CD, observability, and cloud-native deployments across environments. Experience with modern tooling, monitoring stacks, and scaling patterns will be beneficial. You will work on distributed systems, improving reliability, performance, and developer velocity. Experience with modern tooling, monitoring stacks, and scaling patterns will be beneficial. You will collaborate with product, design, infrastructure, and ML teams to deliver scalable solutions. Strong fundamentals, hands-on engineering expertise, and passion for solving complex challenges are required. Work includes automation, CI/CD, observability, and cloud-native deployments across environments. The environment encourages ownership, architectural decision making, and continuous improvement. You will collaborate with product, design, infrastructure, and ML teams to deliver scalable solutions. The environment encourages ownership, architectural decision making, and continuous improvement. You will work on distributed systems, improving reliability, performance, and developer velocity. Work includes automation, CI/CD, observability, and cloud-native deployments across environments. Experience with modern tooling, monitoring stacks, and scaling patterns will be beneficial. Strong fundamentals, hands-on engineering expertise, and passion for solving complex challenges are required.",Mumbai,5,"Python, FastAPI, Microservices, Celery, Redis, CI/CD, AWS, Async Programming"
8,Python Developer,"We are looking for a Python Developer. You will collaborate with product, design, infrastructure, and ML teams to deliver scalable solutions. Work includes automation, CI/CD, observability, and cloud-native deployments across environments. Experience with modern tooling, monitoring stacks, and scaling patterns will be beneficial. You will work on distributed systems, improving reliability, performance, and developer velocity. Strong fundamentals, hands-on engineering expertise, and passion for solving complex challenges are required. The environment encourages ownership, architectural decision making, and continuous improvement. Strong fundamentals, hands-on engineering expertise, and passion for solving complex challenges are required. Experience with modern tooling, monitoring stacks, and scaling patterns will be beneficial. Work includes automation, CI/CD, observability, and cloud-native deployments across environments. The environment encourages ownership, architectural decision making, and continuous improvement. You will collaborate with product, design, infrastructure, and ML teams to deliver scalable solutions. You will work on distributed systems, improving reliability, performance, and developer velocity. Work includes automation, CI/CD, observability, and cloud-native deployments across environments. Experience with modern tooling, monitoring stacks, and scaling patterns will be beneficial. You will collaborate with product, design, infrastructure, and ML teams to deliver scalable solutions. The environment encourages ownership, architectural decision making, and continuous improvement. Strong fundamentals, hands-on engineering expertise, and passion for solving complex challenges are required. You will work on distributed systems, improving reliability, performance, and developer velocity. Experience with modern tooling, monitoring stacks, and scaling patterns will be beneficial. You will work on distributed systems, improving reliability, performance, and developer velocity. The environment encourages ownership, architectural decision making, and continuous improvement. You will collaborate with product, design, infrastructure, and ML teams to deliver scalable solutions. Work includes automation, CI/CD, observability, and cloud-native deployments across environments. Strong fundamentals, hands-on engineering expertise, and passion for solving complex challenges are required.",Gurgaon,4,"Python, FastAPI, Microservices, Celery, Redis, CI/CD, AWS, Async Programming"
9,Frontend Developer,"AstraCompute is hiring a Frontend Developer. You will work on distributed systems, improving reliability, performance, and developer velocity. Experience with modern tooling, monitoring stacks, and scaling patterns will be beneficial. Strong fundamentals, hands-on engineering expertise, and passion for solving complex challenges are required. You will collaborate with product, design, infrastructure, and ML teams to deliver scalable solutions. Work includes automation, CI/CD, observability, and cloud-native deployments across environments. The environment encourages ownership, architectural decision making, and continuous improvement. Experience with modern tooling, monitoring stacks, and scaling patterns will be beneficial. Work includes automation, CI/CD, observability, and cloud-native deployments across environments. Strong fundamentals, hands-on engineering expertise, and passion for solving complex challenges are required. You will collaborate with product, design, infrastructure, and ML teams to deliver scalable solutions. The environment encourages ownership, architectural decision making, and continuous improvement. You will work on distributed systems, improving reliability, performance, and developer velocity.",Chennai,11,"Frontend Architecture, Performance Optimization, SSR, Design Systems"
10,Fullstack Engineer,"We are looking for a Fullstack Engineer. You will collaborate with product, design, infrastructure, and ML teams to deliver scalable solutions. You will work on distributed systems, improving reliability, performance, and developer velocity. Experience with modern tooling, monitoring stacks, and scaling patterns will be beneficial. The environment encourages ownership, architectural decision making, and continuous improvement. Work includes automation, CI/CD, observability, and cloud-native deployments across environments. Strong fundamentals, hands-on engineering expertise, and passion for solving complex challenges are required. Experience with modern tooling, monitoring stacks, and scaling patterns will be beneficial. Work includes automation, CI/CD, observability, and cloud-native deployments across environments. You will collaborate with product, design, infrastructure, and ML teams to deliver scalable solutions. You will work on distributed systems, improving reliability, performance, and developer velocity. The environment encourages ownership, architectural decision making, and continuous improvement. Strong fundamentals, hands-on engineering expertise, and passion for solving complex challenges are required. Strong fundamentals, hands-on engineering expertise, and passion for solving complex challenges are required. Experience with modern tooling, monitoring stacks, and scaling patterns will be beneficial. Work includes automation, CI/CD, observability, and cloud-native deployments across environments. The environment encourages ownership, architectural decision making, and continuous improvement. You will collaborate with product, design, infrastructure, and ML teams to deliver scalable solutions. You will work on distributed systems, improving reliability, performance, and developer velocity.",Hyderabad,12,"Distributed Systems, Kafka, System Design, Caching, Observability, Horizontal Scaling, Kubernetes, Performance Optimization"
